feature,importance
rms,0.20458636221252557
energy_1000_3000,0.17672066518832716
std,0.1741999838387309
energy_3000_5000,0.13836935088347316
energy_500_1000,0.11244176282997334
kurtosis,0.06992002867433052
max_abs,0.06233451638964885
energy_0_500,0.061427329982990504
